Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Kia, EV9 99.8 kWh RWD,99.8 ,9.4 ,180 ,460 ,217 ,870 ,Rear Wheel Drive,7,65000,60000
Kia, EV9 99.8 kWh AWD,99.8 ,5.3 ,180 ,450 ,222 ,850 ,All Wheel Drive,7,70000,65000
Peugeot, e-208,48.1 ,8.2 ,150 ,310 ,155 ,480 ,Front Wheel Drive,5,41850,34955
Maxus, MIFA 9,90 ,9.2 ,180 ,345 ,261 ,290 ,Front Wheel Drive,7,,64306
BMW, i7 M70 xDrive,101.7 ,3.7 ,250 ,490 ,208 ,730 ,All Wheel Drive,5,200000,175000
Volkswagen, ID.7 Pro,77 ,8.0 ,180 ,470 ,164 ,700 ,Rear Wheel Drive,5,55000,53000
Volkswagen, ID.7 Pro S,86 ,7.0 ,180 ,520 ,165 ,800 ,Rear Wheel Drive,5,60000,56000
Polestar, 4 Long Range Single Motor,94 ,7.4 ,180 ,510 ,184 ,760 ,Rear Wheel Drive,5,60000,55000
Polestar, 4 Long Range Dual Motor,94 ,3.8 ,200 ,475 ,198 ,710 ,All Wheel Drive,5,65000,60000
Maserati, Grecale Folgore,95 ,4.1 ,220 ,405 ,235 ,440 ,All Wheel Drive,5,,135000
